throw,white,red
1.0,2.0,3.0
1.0,4.0,6.0
2.0,2.0,5.0
2.0,4.0,5.0
3.0,2.0,5.0
3.0,2.0,6.0
4.0,2.0,6.0
4.0,5.0,6.0
5.0,2.0,5.0
5.0,4.0,5.0
5.0,4.0,
6.0,4.0,5.0
6.0,4.0,5.0
7.0,2.0,5.0
7.0,4.0,6.0
8.0,,5.0
9.0,,2.0
10.0,,2.0
11.0,1.0,1.0
11.0,3.0,5.0
12.0,2.0,6.0
12.0,6.0,6.0
13.0,1.0,4.0
13.0,5.0,5.0
14.0,4.0,6.0
14.0,1.0,6.0
15.0,4.0,6.0
15.0,2.0,6.0
16.0,4.0,6.0
16.0,1.0,6.0
17.0,4.0,6.0
17.0,1.0,6.0
18.0,4.0,6.0
18.0,1.0,6.0
19.0,4.0,6.0
19.0,1.0,6.0
20.0,4.0,6.0
20.0,1.0,6.0
21.0,4.0,6.0
21.0,1.0,6.0
22.0,4.0,6.0
22.0,1.0,6.0
23.0,4.0,6.0
23.0,1.0,6.0
24.0,4.0,6.0
24.0,2.0,6.0
25.0,4.0,6.0
25.0,2.0,6.0
26.0,4.0,6.0
26.0,1.0,6.0
27.0,4.0,6.0
27.0,1.0,6.0
28.0,4.0,5.0
28.0,2.0,6.0
29.0,2.0,6.0
29.0,4.0,6.0
30.0,4.0,2.0
30.0,5.0,6.0
31.0,4.0,2.0
31.0,5.0,6.0
32.0,4.0,2.0
32.0,5.0,6.0
33.0,4.0,2.0
33.0,5.0,6.0
34.0,4.0,2.0
34.0,5.0,6.0
35.0,2.0,2.0
35.0,2.0,2.0
35.0,4.0,2.0
35.0,5.0,6.0
36.0,4.0,6.0
36.0,5.0,6.0
37.0,4.0,6.0
37.0,5.0,6.0
38.0,4.0,6.0
38.0,5.0,6.0
39.0,4.0,6.0
39.0,5.0,6.0
40.0,4.0,2.0
40.0,5.0,6.0
41.0,2.0,4.0
41.0,2.0,6.0
42.0,2.0,4.0
42.0,1.0,6.0
43.0,1.0,2.0
43.0,2.0,
43.0,1.0,
44.0,2.0,6.0
44.0,1.0,6.0
45.0,1.0,6.0
45.0,1.0,6.0
46.0,1.0,6.0
46.0,1.0,6.0
47.0,1.0,6.0
47.0,1.0,6.0
48.0,2.0,6.0
48.0,1.0,6.0
49.0,4.0,6.0
49.0,2.0,6.0
50.0,4.0,6.0
50.0,6.0,6.0
51.0,4.0,5.0
51.0,5.0,6.0
52.0,5.0,5.0
52.0,4.0,5.0
53.0,5.0,5.0
53.0,4.0,5.0
54.0,5.0,5.0
54.0,4.0,5.0
55.0,5.0,5.0
55.0,4.0,5.0
56.0,3.0,5.0
56.0,4.0,6.0
57.0,3.0,5.0
57.0,4.0,4.0
58.0,5.0,5.0
58.0,,2.0
59.0,5.0,5.0
59.0,,2.0
60.0,5.0,5.0
60.0,,2.0
61.0,5.0,5.0
61.0,,2.0
62.0,6.0,6.0
62.0,,6.0
63.0,6.0,6.0
63.0,,6.0
64.0,6.0,6.0
64.0,,6.0
65.0,4.0,6.0
65.0,5.0,6.0
66.0,4.0,6.0
66.0,5.0,6.0
67.0,4.0,6.0
67.0,4.0,6.0
68.0,4.0,6.0
68.0,5.0,6.0
69.0,5.0,6.0
69.0,4.0,2.0
70.0,2.0,6.0
70.0,3.0,2.0
70.0,4.0,
71.0,3.0,6.0
71.0,4.0,2.0
72.0,4.0,5.0
72.0,5.0,
73.0,4.0,5.0
73.0,5.0,
74.0,3.0,5.0
74.0,4.0,4.0
75.0,5.0,5.0
75.0,4.0,2.0
76.0,2.0,
77.0,2.0,2.0
77.0,6.0,2.0
77.0,4.0,2.0
77.0,,2.0
78.0,2.0,5.0
78.0,4.0,6.0
79.0,2.0,
80.0,2.0,2.0
80.0,2.0,2.0
80.0,,3.0
80.0,,2.0
80.0,,6.0
80.0,,2.0
81.0,2.0,2.0
81.0,2.0,2.0
81.0,,3.0
81.0,,2.0
81.0,,2.0
81.0,,4.0
82.0,2.0,2.0
82.0,2.0,3.0
82.0,,2.0
82.0,,2.0
82.0,,2.0
82.0,,2.0
82.0,,2.0
82.0,,2.0
83.0,2.0,2.0
83.0,2.0,2.0
83.0,,2.0
83.0,,6.0
83.0,,2.0
83.0,,2.0
84.0,2.0,2.0
84.0,2.0,2.0
84.0,,2.0
84.0,,6.0
