throw,white,red
1,1.0,1.0
2,2.0,2.0
3,3.0,3.0
4,4.0,4.0
5,5.0,5.0
6,6.0,6.0
7,1.0,1.0
8,2.0,2.0
9,3.0,3.0
10,4.0,4.0
11,5.0,5.0
12,6.0,6.0
13,1.0,1.0
14,2.0,1.0
15,1.0,2.0
16,2.0,1.0
17,1.0,6.0
18,6.0,4.0
18,4.0,3.0
18,3.0,4.0
18,3.0,
19,6.0,4.0
19,1.0,6.0
19,5.0,3.0
19,6.0,1.0
20,4.0,5.0
20,5.0,6.0
20,,5.0
20,,1.0
21,6.0,3.0
21,,6.0
21,,1.0
21,,5.0
21,,1.0
21,,4.0
22,6.0,2.0
22,1.0,1.0
22,2.0,3.0
22,3.0,3.0
22,3.0,4.0
23,5.0,5.0
23,5.0,3.0
23,2.0,2.0
23,1.0,5.0
23,4.0,5.0
23,1.0,
24,2.0,3.0
24,1.0,3.0
25,5.0,1.0
25,4.0,3.0
25,5.0,2.0
25,3.0,2.0
25,3.0,
25,4.0,
26,3.0,3.0
26,6.0,3.0
27,4.0,1.0
27,3.0,2.0
27,3.0,2.0
28,1.0,3.0
28,3.0,1.0
28,2.0,3.0
28,3.0,2.0
28,3.0,
29,1.0,2.0
29,,1.0
29,,2.0
29,,2.0
30,4.0,3.0
30,1.0,2.0
31,6.0,2.0
31,2.0,2.0
31,3.0,1.0
31,1.0,2.0
31,,1.0
32,5.0,2.0
32,6.0,3.0
33,3.0,3.0
33,5.0,
34,1.0,3.0
34,3.0,2.0
34,4.0,3.0
34,4.0,1.0
34,2.0,2.0
34,6.0,1.0
35,1.0,2.0
35,3.0,1.0
35,2.0,2.0
35,,1.0
35,,3.0
35,,3.0
36,1.0,1.0
36,1.0,2.0
36,4.0,2.0
36,4.0,
36,6.0,
36,4.0,
37,5.0,2.0
37,4.0,3.0
37,5.0,2.0
37,2.0,
37,1.0,
38,5.0,2.0
38,,3.0
39,3.0,1.0
39,4.0,3.0
39,2.0,1.0
39,3.0,1.0
39,1.0,
40,6.0,3.0
40,1.0,1.0
40,,3.0
40,,2.0
41,3.0,2.0
41,3.0,3.0
41,5.0,2.0
41,2.0,1.0
41,,2.0
42,4.0,3.0
42,4.0,3.0
42,1.0,1.0
42,4.0,2.0
43,2.0,2.0
43,4.0,
44,5.0,1.0
44,2.0,2.0
44,6.0,3.0
44,2.0,2.0
44,4.0,
44,2.0,
45,5.0,2.0
45,,1.0
45,,1.0
45,,1.0
45,,2.0
46,2.0,2.0
46,,2.0
46,,2.0
46,,3.0
46,,1.0
47,6.0,2.0
47,,2.0
47,,2.0
47,,3.0
48,2.0,1.0
48,6.0,2.0
48,6.0,1.0
48,6.0,3.0
48,6.0,
49,3.0,2.0
49,4.0,3.0
49,6.0,3.0
49,,3.0
49,,3.0
50,1.0,2.0
50,2.0,1.0
50,4.0,1.0
50,3.0,1.0
50,,1.0
51,4.0,3.0
51,5.0,2.0
51,1.0,
52,3.0,3.0
52,1.0,2.0
52,1.0,1.0
52,3.0,
52,6.0,
53,3.0,1.0
53,3.0,2.0
53,2.0,
53,4.0,
53,4.0,
53,6.0,
54,2.0,1.0
54,4.0,2.0
54,,1.0
54,,2.0
54,,3.0
55,4.0,3.0
55,,3.0
56,3.0,3.0
56,5.0,3.0
56,2.0,2.0
56,4.0,2.0
56,5.0,2.0
56,,3.0
57,5.0,1.0
57,5.0,2.0
57,4.0,1.0
57,5.0,3.0
57,3.0,1.0
58,3.0,3.0
58,4.0,2.0
58,,3.0
58,,3.0
58,,1.0
58,,1.0
59,5.0,2.0
59,2.0,
59,2.0,
59,3.0,
59,6.0,
60,5.0,3.0
60,6.0,
60,1.0,
60,2.0,
60,3.0,
60,4.0,
61,3.0,2.0
61,,1.0
61,,1.0
61,,1.0
61,,2.0
61,,1.0
62,4.0,2.0
62,3.0,1.0
62,2.0,
62,5.0,
62,4.0,
63,2.0,3.0
63,5.0,
63,2.0,
64,3.0,2.0
64,5.0,
64,2.0,
64,6.0,
65,4.0,3.0
65,,1.0
66,3.0,3.0
66,5.0,
66,2.0,
66,4.0,
66,1.0,
67,1.0,1.0
68,2.0,3.0
68,1.0,3.0
68,3.0,
68,4.0,
69,6.0,3.0
69,2.0,1.0
69,6.0,
69,3.0,
69,5.0,
70,3.0,2.0
71,2.0,2.0
71,3.0,3.0
71,3.0,
71,1.0,
71,5.0,
71,6.0,
72,1.0,2.0
72,1.0,3.0
73,3.0,1.0
74,6.0,2.0
74,2.0,
74,5.0,
74,3.0,
74,2.0,
75,1.0,3.0
75,,1.0
75,,3.0
76,3.0,3.0
76,,3.0
76,,3.0
77,5.0,1.0
77,4.0,1.0
77,3.0,
77,1.0,
78,3.0,2.0
78,1.0,3.0
78,5.0,3.0
78,2.0,2.0
78,3.0,2.0
78,,3.0
79,1.0,3.0
79,4.0,
79,4.0,
79,2.0,
80,4.0,1.0
80,5.0,1.0
80,4.0,3.0
80,3.0,2.0
80,,2.0
81,4.0,3.0
81,2.0,2.0
81,3.0,2.0
81,5.0,
81,3.0,
82,6.0,2.0
82,6.0,3.0
82,,2.0
82,,2.0
82,,2.0
83,5.0,1.0
83,5.0,2.0
83,3.0,1.0
83,5.0,3.0
83,6.0,2.0
83,,1.0
84,5.0,2.0
84,2.0,2.0
84,3.0,3.0
84,5.0,
84,6.0,
84,4.0,
85,4.0,1.0
85,4.0,
85,2.0,
86,5.0,3.0
86,6.0,3.0
86,1.0,2.0
86,4.0,2.0
86,6.0,2.0
86,2.0,2.0
87,5.0,2.0
87,5.0,3.0
87,4.0,2.0
87,6.0,3.0
87,,2.0
88,2.0,1.0
88,6.0,2.0
88,2.0,1.0
88,4.0,
88,2.0,
89,1.0,3.0
89,1.0,
90,4.0,3.0
90,5.0,1.0
90,1.0,2.0
90,6.0,1.0
90,1.0,2.0
90,6.0,3.0
91,5.0,2.0
91,5.0,
91,3.0,
92,6.0,1.0
92,1.0,1.0
92,,1.0
93,1.0,2.0
93,5.0,2.0
93,6.0,1.0
93,5.0,1.0
93,4.0,3.0
93,,2.0
94,3.0,2.0
94,4.0,1.0
94,5.0,3.0
94,2.0,2.0
94,3.0,2.0
94,,1.0
95,1.0,2.0
96,6.0,3.0
96,5.0,3.0
96,,1.0
96,,3.0
96,,2.0
97,4.0,1.0
97,1.0,3.0
97,4.0,
97,6.0,
98,5.0,3.0
98,4.0,
99,2.0,3.0
99,1.0,2.0
99,6.0,
99,4.0,
99,3.0,
100,4.0,1.0
100,5.0,3.0
100,1.0,1.0
100,5.0,2.0
101,4.0,1.0
101,3.0,3.0
101,2.0,2.0
101,,3.0
101,,3.0
101,,3.0
102,5.0,2.0
102,6.0,
102,4.0,
103,5.0,1.0
103,,3.0
104,4.0,1.0
104,,1.0
105,4.0,3.0
106,4.0,3.0
106,2.0,2.0
106,1.0,1.0
106,1.0,
106,6.0,
107,4.0,2.0
107,2.0,
107,6.0,
107,5.0,
108,2.0,1.0
108,2.0,2.0
108,6.0,2.0
108,5.0,1.0
108,2.0,3.0
108,4.0,3.0
109,2.0,2.0
109,1.0,1.0
109,1.0,2.0
109,2.0,
109,1.0,
109,5.0,
110,2.0,1.0
110,2.0,1.0
110,6.0,1.0
110,,1.0
111,2.0,1.0
111,4.0,3.0
111,4.0,
111,6.0,
111,5.0,
112,4.0,3.0
112,,1.0
113,5.0,1.0
113,3.0,
113,5.0,
114,3.0,2.0
114,,3.0
114,,1.0
115,3.0,3.0
115,6.0,1.0
115,5.0,2.0
115,5.0,1.0
115,4.0,3.0
115,1.0,
116,2.0,2.0
